:START_ID,:END_ID,:TYPE
car39,p36,SHARES_PART
car39,p38,SHARES_PART
car39,p39,SHARES_PART
car39,p40,SHARES_PART
car40,p37,SHARES_PART
car40,p38,SHARES_PART
car40,p39,SHARES_PART
car40,p40,SHARES_PART
car41,p36,SHARES_PART
car41,p38,SHARES_PART
car41,p39,SHARES_PART
car41,p40,SHARES_PART
car42,p37,SHARES_PART
car42,p38,SHARES_PART
car42,p39,SHARES_PART
car42,p40,SHARES_PART
car43,p36,SHARES_PART
car43,p38,SHARES_PART
car43,p39,SHARES_PART
car43,p40,SHARES_PART
car44,p42,SHARES_PART
car44,p45,SHARES_PART
car44,p46,SHARES_PART
car44,p47,SHARES_PART
car44,p48,SHARES_PART
car45,p41,SHARES_PART
car45,p45,SHARES_PART
car45,p46,SHARES_PART
car45,p47,SHARES_PART
car45,p48,SHARES_PART
car46,p43,SHARES_PART
car46,p45,SHARES_PART
car46,p46,SHARES_PART
car46,p47,SHARES_PART
car46,p48,SHARES_PART
car47,p44,SHARES_PART
car47,p45,SHARES_PART
car47,p46,SHARES_PART
car47,p47,SHARES_PART
car47,p48,SHARES_PART
car48,p43,SHARES_PART
car48,p45,SHARES_PART
car48,p46,SHARES_PART
car48,p47,SHARES_PART
car48,p48,SHARES_PART
car49,p43,SHARES_PART
car49,p45,SHARES_PART
car49,p46,SHARES_PART
car49,p47,SHARES_PART
car49,p48,SHARES_PART
car50,p43,SHARES_PART
car50,p45,SHARES_PART
car50,p46,SHARES_PART
car50,p47,SHARES_PART
car50,p48,SHARES_PART
